"title","cont","comment","likes_count","reward_count","times"
"Django学习（第三天：我的第一个view）","创建app对于web小白来说，这些专业名称完全懵逼，还好美女姐姐讲的很好，我觉得一个网站相当于一个project的话，那每个小功能就是一个ap...","2","4","0","2017年 08月 04日 21:05:07"
"python爬虫之MQL5爬虫",,"4","4","1","2017年 08月 02日 10:44:15"
"罗罗攀的自我介绍","01公众号开了这么久，也没有好好的自我介绍下，但群里总会问：群主是做什么的？群主还是个学生？群主还出过书？每次都要回答一遍，很是麻烦，现在...","4","4","0","2019年 06月 14日 16:07:23"
"D同学的恋爱旋律","首先，我们简单的介绍一下D同学。D同学是本人的高中同学，虽说高中才同班，但一直也都是一个学校的，多多少少有过几面之缘。初中毕业前，在我的印象中...","2","4","0","2017年 08月 13日 21:35:26"
"书一样的女纸","今天的主人公是本科同学，我一般叫她组长。跟组长熟识是在大一课程的分组，那个时候她便是组长。首先，她是个成绩优异的姑娘。在班上，不是第一，就是第...","3","4","0","2017年 08月 06日 20:58:07"
"Python数据分析之方差分析","问题设某苗圃对一花木种子制定了5种不同的处理方法，每种方法处理了6粒种子进行育苗试验。一年后观察苗高获得资料如下表。已知除处理方法不同外，其他...","2","4","0","2017年 03月 28日 16:25:33"
"Django学习（第五天：Django中的MTV模型）","MmodelsTtemplatesVviews今天的主要任务是完成表单提交的全过程，通过之前的学习，我们已经完成了表单的制作，已经mi...","5","4","1","2017年 08月 08日 16:56:39"
"Django学习（第一天：环境的搭建）","开始跟着美女姐姐学web开发啦！享受这10天的学习之旅吧。pythonweb开发框架很多，Django是其中之一，让我们学习吧。python...","6","4","0","2017年 08月 01日 12:26:30"
"机器学习实战之线性回归","之前我们学习的机器学习算法都是属于分类算法，也就是预测值是离散值。当预测值为连续值时，就需要使用回归算法。本文将介绍线性回归的原理和代码实现。...","2","4","0","2018年 06月 16日 16:09:08"
"Python进阶|装饰器的那些事（二）","前言上次我们讲解了装饰器的定义和使用，这节课我们再继续深入聊聊装饰器的那些事。装饰器的嵌套装饰器是可以嵌套的，当然我们关心的是嵌套的装饰器...","1","4","0","2019年 11月 04日 08:36:00"
"打卡加虐狗",,"4","4","0","2017年 05月 21日 22:41:20"
"Python数据分析之一元线性回归","问题制作一元材积表，不懂林学的可能不知道，如图，也就是构造材积和胸径间的关系，这里采用了python的一元线性回归方法（本人用spss做了幂函...","3","4","0","2017年 03月 28日 16:43:58"
"记爬虫小分队（三）","2017年4月20日关于童鞋抓取简书文章阅读和评论的问题（喜欢也是一样的）！童鞋们发现写的xpath爬取不到，有的时候不要怀疑自己写错了（检查...","6","4","0","2017年 04月 20日 09:32:12"
"新课上线（爬虫+数据分析），案例多多，福利多多","新课上线大家如果经常看公众号或者博客的话，有很多这样的爆文：爬取XXX，得到XXX其实都是通过爬虫+数据分析的技术完成的，这个新课就是希望让学...","4","4","0","2019年 01月 08日 10:27:43"
"Python有趣|微博网红大比拼","前言在之前的分享中，我们已经学会了简书和知乎小姐姐的爬虫。今天罗罗攀把魔爪伸向了微博网红们，我们找找谁是最美网红。今天的流程如下：网页分析...","0","4","0","2019年 05月 11日 19:47:57"
"sklearn调包侠之朴素贝叶斯","文档处理朴素贝叶斯算法常用于文档的分类问题上，但计算机是不能直接理解文档内容的，怎么把文档内容转换为计算机可以计算的数字，这是自然语言处理（N...","0","4","0","2018年 07月 03日 15:16:32"
"Python数据分析之merge使用","在现实生活中，都会存在不同的表，但表之间有相互关系，我们需要进行整理，进行连接，这种过程类似于数据库的连接。我们先构造用户和订单的datafra...","3","4","0","2017年 05月 19日 21:14:02"
"出差第二天","调查搞起来","1","4","0","2017年 05月 07日 21:19:58"
"MongoDB安装","非关系性数据库NoSQL，泛指非关系型的数据库。随着互联网web2.0网站的兴起，传统的关系数据库在应付web2.0网站，特别是超大规模和高并...","2","4","0","2017年 05月 03日 21:32:57"
"深度学习|中文文本的分类（建模篇）","前言上回我们处理好了中文文本，具体的步骤如下：数据情况中文文本分词建立tokentoken转换为列表统一长度那这篇文章我们就使用M...","0","4","0","2019年 01月 27日 21:26:11"
"美美的matplotlib","总是感觉matplotlib画的图不是很好看，以前用highcharts画图很清新，而且自动调色，但今天在网上看到别人用matplotlib画的...","6","4","0","2017年 05月 29日 20:07:09"
"简书非官方大数据（二）","PS：这条很重要，我的文章中所说的大数据并不是现在很火的大数据话题，前几天看过一篇大数据的文章，简单来说：当一台电脑没法处理或你现在的条件没法处...","6","4","1","2017年 02月 10日 10:26:32"
"SQL题，Python做","01问题描述这个SQL题来源于自己的Python学习交流群，具体是这样的：用一条SQL语句查询出每门课都大于80的学生姓名和总成绩。0...","0","4","0","2019年 08月 19日 11:13:58"
"千里之行，始于足下",,"2","4","0","2016年 11月 18日 06:51:47"
"Python进阶|函数变量作用域","前言在Python编程中，函数是我们接触较多的知识点，毕竟函数是用来节省代码量和提高程序效率很重要的一个手段。首先，我们回顾下Python定...","0","3","0","2019年 10月 07日 09:16:45"
"记爬虫小分队（一）","2017年4月17日晚8点，爬虫小分队开幕仪式，同学们都很热情，部分学生也在Python爬虫作业专题中写下自己的期望，有一个学生把学Python...","4","3","1","2017年 04月 19日 11:09:58"
"我有酒，你有故事吗","作序：鼓起勇气，终于开始了我新的文集创作，这个文集就叫“我有酒，你有故事吗”。也就是在学校请同学吃个饭，聊个天，说出故事，由我来记录发表。由于是...","3","3","1","2017年 06月 16日 17:14:55"
"坚持，到底有多重要","12019年考研基本已经结束，新的2020年考研也开始起航了。之前给本科生代课，有很多学生会问我考研的问题。“考研难么”，“我这个专业考什么...","9","3","0","2019年 03月 30日 10:02:21"
"MySQL学习之联结表","内联结是inner外联结分为左右跟着程老哥学习下MySQL，看到联结表的时候还是很懵逼的，我们用案例看看，这几个联结方式的不同。首先定义了简单...","4","3","0","2017年 08月 24日 16:47:07"
"sklearn调包侠之线性回归","线性回归原理如图所示，这是一组二维的数据，我们先想想如何通过一条直线较好的拟合这些散点了？直白的说：尽量让拟合的直线穿过这些散点（这些点离拟合...","5","3","0","2018年 06月 28日 11:46:01"
"Anaconda安装和使用","「Python数据分析养成记」第一篇前言俗话说的好，“工欲善其事，必先利其器”。我们要运行Python代码，就需要Python的环境。本文就...","0","3","0","2019年 04月 03日 14:12:10"
"出差第一天","张家界～有山有水有美味","4","3","0","2017年 05月 06日 21:52:12"
"机器学习实战之K-Means聚类","俗话说的好：“物以类聚，人以群分”，今天我们要讲的聚类算法很大程度上可以印证此话。聚类是一种非监督学习，什么是非监督学习？与之前学习的分类和回归...","2","3","0","2018年 06月 20日 19:24:23"
"数学建模第三天","2017年4月23日谢谢群主的书～","12","3","1","2017年 04月 23日 23:11:39"
"日常虐狗",,"6","3","0","2017年 05月 27日 21:52:28"
"Python各版本冲突解决方案","之前电脑安装了anaconda，又安装了python3。anaconda的各环境相互不冲突，很好管理，确实是很方便。但今天想用下之前安装的pyt...","6","3","0","2017年 05月 02日 19:05:21"
"出差第三天","今天主要是去打酱油的～在林业局傻站了一天，也忘记拍照了。很多人会问，出差你都是拍的照片，看风景，吃美食，很爽的样子，工作的图片和介绍却很少，其实...","7","3","1","2017年 05月 08日 21:59:08"
"挑战一张图，三分钟，调出四季","一年有四季，每个季节都有不同的风景与韵味，今天就用Lightroom（Lr），使用一张照片，调出四个季节的风格照片，足不出户，看遍四季好风光。...","0","3","0","2020年 03月 03日 15:33:32"
"Python爬虫之煎蛋网图片下载",,"9","3","0","2017年 02月 08日 22:29:45"
"简书非官方大数据（三）","最近回老家了一趟，爬取简书的程序也就停下来了，回到长沙继续爬，很高兴的爬到了300W左右，导出来一看，好多重复的，我记得我说过设置过的，拿到代码...","4","3","0","2017年 02月 14日 17:46:40"
"Python爬虫小分队第四期招募帖","产品运营的时代到了刚开始老大准备开线上培训的时候，就说过，希望把这个培训当做一个产品好好运营，而这个事情终于在第四期开始拉开帷幕。现在有了专业...","5","3","0","2017年 08月 09日 15:34:02"
"今日碎碎念","最近一直都在搞毕业论文，可能更新Python技术文章并不是太多，各位看官多多见谅。我的公众号（罗罗攀）也已经有两年的历史了，不过也是在今年才开...","2","3","0","2018年 12月 12日 09:11:47"
"手机三分钟调出INS最火青橙色调","青橙色调在ins上是很受欢迎的，虽然现在都烂大街了，感觉到平平无奇。但是这种配色很适合夏日风光，以及带有天空，水元素之类的图片，今天就用三分钟...","0","2","0","2020年 02月 28日 20:10:43"
"Django学习（第四天：ORM&Model）","ORM，是一种程序技术，用于实现面向对象编程语言里不同类型系统的数据之间的转换。Modelsettingsmigrate和makemigr...","1","2","0","2017年 08月 05日 16:25:07"
"一串红",,"4","2","0","2017年 05月 25日 21:47:09"
"出差小记","01在路上，总是会有很多想法，很多供公号文章的素材，但这些灵感总是稍瞬即逝，留下的不过是空白。这也源于自己不善于使用手机记录灵感，一是觉得麻...","0","2","0","2019年 06月 21日 15:49:25"
"Python有趣|高德POI，玩转长沙","长沙CITY，长沙SHOW长沙C-BLOCK，长沙FLOW长沙妹驼，叫长沙GIRL前言说到长沙，大家第一想到的可能就是小吃，当然来长沙旅游，...","0","2","0","2019年 03月 30日 10:05:37"
"学习焦虑，我推荐你看这本书","01前言在我们的生活中，总是充斥着让人感觉焦虑的信息，某乎上动不动就是刚下飞机、年薪百万等，带着这种情绪去学习，很容易头脑发热，焦虑式学习。...","0","2","0","2020年 01月 17日 10:27:57"
"Python数据分析之matplotlib（二）","今天主要讲下一些参数的使用：","4","2","0","2017年 05月 23日 21:23:40"
"数学建模第四天","2017年4月24号通宵走起来","2","2","1","2017年 04月 24日 23:16:35"
"sklearn调包侠之逻辑回归","算法原理传送门：机器学习实战之Logistic回归正则化这里补充下正则化的知识。当一个模型太复杂时，就容易过拟合，解决的办法是减少输入特征...","1","2","0","2018年 06月 29日 10:33:55"
"职场办公|不要轻易合并单元格","前言这是「罗罗攀」的新系列文章，首先说明下开启这个新系列文章的初衷和原因吧。我自己最近刚工作没多久，主要的工作就是office+Arcgis...","0","2","0","2019年 05月 18日 10:58:22"
"三月份总结","三月份做的事情并不是太多，主要是分为公众号写作、论文和读书相关的事情，这里一一和大家分享下。公众号写作主要是更新了Python有趣系列，这个...","0","2","0","2019年 04月 05日 08:46:53"
"毕业论文爬坑记（建模篇）","前言上回说到，通过Python帮助小姐姐解决论文问题，在结尾我也说过，论文并没有想象的那么简单，下面就是本人最近整理的扎心语录。爬虫可以获取...","0","2","0","2018年 12月 10日 09:53:54"
"执子之手，与子偕老","高中1大宁最近有些反常，一下课就不见人。这次又踏着铃声回教室。我用笔狠狠戳他的背，一脸鄙夷。“喂喂喂，刚刚xx过来还书，你去哪了？”他眉眼一抬，...","2","2","0","2017年 08月 03日 23:21:45"
"叶子花",,"2","2","0","2017年 05月 24日 23:11:46"
"职场办公|眼花缭乱的数据对比","问题描述在工作中，会经常遇到两列数据做对比，找出相同或不同的数据。例如：下面的表格中，A列是所有的自然保护地，B列是有遥感图的自然保护地，我...","0","2","0","2019年 06月 07日 09:37:13"
"职场办公|分列那些小事","01问题描述在实际工作中，数据源总是千奇百怪，例如下面这种，需要进行拆分，这就需要使用数据分列的功能。02分隔符号分列数据分列很简单，...","0","2","0","2019年 06月 19日 20:21:00"
"写给北方的小说","其实，除了初中高中在语文课本上，看过几篇短篇小说外，大体我是没有认真看完过一本文学小说的。印象中，老师会说，小说的三要素是什么，时间人物地点，抓...","0","2","0","2019年 03月 30日 10:02:47"
"Python数据结构",,"2","2","0","2016年 12月 09日 10:47:02"
"Python数据分析之matplotlib（一）",,"2","2","0","2017年 05月 20日 20:50:00"
"年底了，不会T字线图可不行","01前言不知不觉2019年都快过去了，大家年初定的目标是否都完成了了？公司的业绩是否也都达到了？是否不用还花呗，步入小康了？灵魂三问完后，生...","0","1","0","2019年 12月 18日 10:49:36"
"职场办公|自定义排序","01问题描述如下图所示，我需要将一级类型按照“采石场&gt;工矿用地&gt;能源设施&gt;旅游设施&gt;交通设施&gt;养殖场&gt;农业用地&gt;...","0","1","0","2019年 06月 19日 20:20:54"
"Python高效办公|批量替换错误值","01前言这是「罗罗攀」的又一个新系列文章，依照惯例，还是说明下开启这个新系列文章的初衷和原因吧。在我的工作中，虽然大分部情况可以不通过编程...","0","1","0","2019年 05月 18日 10:58:48"
"每天早到公司20分钟，我会做这三件事情","从实习到现在，不管怎样，我都会早到公司20分钟。虽然比不上那些大佬，五点起床运动，干活，但这20分钟也足够让我做好这三件事情。01整理公众号...","0","1","0","2019年 06月 07日 09:37:31"
"职场办公|我竟然不会高级筛选","问题描述为了给同事们分发任务，需要根据同事分配的保护区，筛选出影像数据，最后将影像发给同事。我是第一时间就想到了筛选的功能，但是通过普通筛选...","0","1","0","2019年 05月 18日 10:58:28"
"女王节，我推荐看这本书","这束光还不够女王节可以说是全社会进步的产物，以前的男权社会有了很大的改观。现在的女王节，大部分是让商家来做活动的，但社会的黑暗面还存在。这远...","0","1","0","2019年 03月 30日 10:02:38"
"职场办公|VLOOKUP函数跳坑指南","01问题描述如果Excel函数中有流量明星的话，那一定是VLOOKUP函数了。第一次听这个函数，还是刚研一那会，师兄告诉我的，这个函数不...","1","1","0","2019年 05月 18日 10:58:15"
"记记花",,"7","1","0","2017年 05月 22日 22:48:12"
"Python数据分析之锁具装箱问题","问题重述某厂生产一种弹子锁，其槽数高度可以用1到6中取5个来表示。其限制条件是：至少在5个中有3个不同的数；相邻槽的高度相差不能为5。在实际试...","6","1","1","2017年 03月 28日 16:20:15"
"Python函数与控制语句","前言今天我们简单说下Python函数和控制语句，大纲如下：函数“脏活累活交给函数来做”，首先，看看Python中定义函数的方法。函数就是...","0","1","0","2019年 05月 18日 10:58:07"
"地铁调色，打造金属质感","地铁车厢等也是很多人的照片素材，但是在网上看了很多照片，总是觉得不好看。总结起来就是照片颜色多，而且偏黄，给人一种不干净的感觉，我比较喜欢通透...","0","1","0","2020年 03月 16日 14:50:21"
"Flask学习笔记之模板（三）","大纲我们都知道html模板中，很多内容都是有重复的，譬如前面的head和后面的footer部分，这里的部分都是重复的，我们可以通过今天的学习的...","0","1","0","2018年 11月 26日 18:29:09"
"Python基础数据类型","前言配置好我们的Python环境后，我们就可以正式开启Python学习之旅了。之前我不止一次说过二八定律（学习20%的重要知识，解...","0","1","0","2019年 05月 18日 10:57:57"
"推荐一部不错的国漫","01说起国漫，大抵可以通过一个词来形容：“男默女泪”。不过近年来国漫有崛起之势，先有《秦时明月》，后有《画江湖之不良人》。出了一些不错的国...","0","1","0","2019年 06月 07日 09:37:41"
"Flask学习笔记之url和函数映射","大纲这是flask的第二篇文章，在第一篇文章中，我们看到了flask是如何让固定url和和函数保证对应的，但现实的URL中，URL路径是多变的...","0","1","0","2018年 11月 17日 09:08:18"
"《爆款写作课》心得","最近花了点时间，看了下弗兰克大佬的《爆款写作课》，让我感受深刻的并不是如何做好写作，而是一些为人处世的道理。这里和大家分享一下。自我介绍第一...","1","1","0","2019年 03月 30日 10:02:51"
"百度API情感分析","01前言情感分析是NLP的重要部分，之前我们使用过Python第三方库SnowNLP进行情感分析，也训练过朴素贝叶斯模型来更好的符合我们的数...","0","1","0","2019年 07月 19日 17:08:25"
"Flask学习笔记之模板（二）","大纲模板也是提供流程控制的，本次的分享内容见下：判断循环静态文件判断这里我们输入一个成绩变量，看是否及格。然后在模板中写入判读语句...","0","0","0","2018年 11月 21日 08:54:07"
"再见2019，你好2020","不知不觉，罗罗攀又陪伴了大家一年的时光。首先，依旧是感谢各位读者的支持，只要自己的文章给大家一点微不足道的帮助，我都会坚持下去。按着老套路，还...","0","0","0","2020年 02月 14日 14:15:02"
"Python内置数据结构","前言前文讲解了Python的基础数据类型，但是对于复杂的问题，最基础的数据类型可能没法解决。例如，每个变量（容器）只能装一种饮料（雪碧或者可乐...","0","0","0","2019年 05月 18日 10:58:02"
"爬虫加数据分析，玩转数据","爬虫+数据分析大家如果经常看公众号或者博客的话，有很多这样的爆文：爬取XXX，得到XXX其实都是通过爬虫+数据分析的技术完成的，这个新课就是希...","0","0","0","2019年 07月 11日 12:33:31"
